# tracer: nop
#
# entries-in-buffer/entries-written: 30289/30289   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
    pcm-memory.x-7518  [004] ....  1930.185428: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185439: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185451: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185462: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185473: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185484: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185495: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185506: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185517: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185528: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185539: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185549: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185560: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185571: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185582: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185594: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185605: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185616: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185627: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185638: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185650: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185661: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185672: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185683: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185695: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185706: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185717: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185728: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185739: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185751: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185762: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185773: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185784: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185796: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185807: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185818: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185829: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185840: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185851: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185862: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185873: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185885: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185896: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185908: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185920: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185931: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185942: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185953: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185965: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185976: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.185988: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186000: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186011: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186022: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186033: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186044: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186055: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186067: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186078: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186089: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186100: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186111: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186122: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186133: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186145: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186156: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186167: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186178: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186189: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186200: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186217: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186230: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186247: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186258: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186567: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186579: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186592: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186604: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186615: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186626: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186638: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186649: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186660: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186672: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186684: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186695: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [004] ....  1930.186706: tlb_flush: pages:1 reason:local mm shootdown (3)
