# tracer: nop
#
# entries-in-buffer/entries-written: 27230/27230   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
    pcm-memory.x-7364  [008] ....  1669.098714: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098722: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098729: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098736: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098743: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098751: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098758: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098765: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098772: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098780: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098787: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098794: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098801: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098809: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098816: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098823: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098830: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098837: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098845: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098852: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098859: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098866: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.098874: tlb_flush: pages:1 reason:local mm shootdown (3)
